cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
25	3	84.067	0	84.067	1.29844e+06	3	0	0	0	0	0	Urine_37_Top10_POS.mzXML:4263###Urine_37_Top10_POS.mzXML:6278###Urine_37_Top10_POS.mzXML:6386###	 	G1,	833.106666667	176.332259389	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=25	1	1
26	3	84.057	0	84.057	2.00744e+06	1	2	0	0	0	0	Urine_37_Top10_POS.mzXML:6876###Urine_64_Top10_POS.mzXML:6345###Urine_64_Top10_POS.mzXML:6429###	 	G1,G2,	1015.17666667	9.80755491105	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=26	2	1
29	11	86.06	0	86.06	6.65699e+07	7	4	0	0	0	0	Urine_37_Top10_POS.mzXML:2099###Urine_37_Top10_POS.mzXML:2217###Urine_37_Top10_POS.mzXML:2335###Urine_37_Top10_POS.mzXML:2579###Urine_37_Top10_POS.mzXML:2708###Urine_37_Top10_POS.mzXML:2830###Urine_37_Top10_POS.mzXML:2952###Urine_64_Top10_POS.mzXML:2147###Urine_64_Top10_POS.mzXML:2291###Urine_64_Top10_POS.mzXML:2530###Urine_64_Top10_POS.mzXML:2652###	 	G1,G2,	398.7	38.2476688911	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=29	2	1
30	46	86.091	0	86.091	1.74222e+07	29	17	0	0	0	0	Urine_37_Top10_POS.mzXML:1018###Urine_37_Top10_POS.mzXML:1110###Urine_37_Top10_POS.mzXML:1202###Urine_37_Top10_POS.mzXML:3574###Urine_37_Top10_POS.mzXML:4172###Urine_37_Top10_POS.mzXML:4829###Urine_37_Top10_POS.mzXML:5074###Urine_37_Top10_POS.mzXML:5149###Urine_37_Top10_POS.mzXML:5245###Urine_37_Top10_POS.mzXML:5353###Urine_37_Top10_POS.mzXML:5455###Urine_37_Top10_POS.mzXML:5553###Urine_37_Top10_POS.mzXML:5675###Urine_37_Top10_POS.mzXML:5801###Urine_37_Top10_POS.mzXML:5911###Urine_37_Top10_POS.mzXML:5930###Urine_37_Top10_POS.mzXML:6032###Urine_37_Top10_POS.mzXML:6062###Urine_37_Top10_POS.mzXML:6191###Urine_37_Top10_POS.mzXML:6245###Urine_37_Top10_POS.mzXML:6351###Urine_37_Top10_POS.mzXML:6454###Urine_37_Top10_POS.mzXML:6550###Urine_37_Top10_POS.mzXML:6928###Urine_37_Top10_POS.mzXML:7017###Urine_37_Top10_POS.mzXML:7105###Urine_37_Top10_POS.mzXML:7469###Urine_37_Top10_POS.mzXML:7888###Urine_37_Top10_POS.mzXML:8045###Urine_64_Top10_POS.mzXML:3840###Urine_64_Top10_POS.mzXML:4648###Urine_64_Top10_POS.mzXML:4857###Urine_64_Top10_POS.mzXML:4955###Urine_64_Top10_POS.mzXML:5235###Urine_64_Top10_POS.mzXML:5324###Urine_64_Top10_POS.mzXML:5616###Urine_64_Top10_POS.mzXML:5812###Urine_64_Top10_POS.mzXML:5903###Urine_64_Top10_POS.mzXML:5993###Urine_64_Top10_POS.mzXML:6159###Urine_64_Top10_POS.mzXML:6569###Urine_64_Top10_POS.mzXML:7022###Urine_64_Top10_POS.mzXML:7247###Urine_64_Top10_POS.mzXML:7320###Urine_64_Top10_POS.mzXML:7392###Urine_64_Top10_POS.mzXML:7549###	 	G1,G2,	867.393065217	249.347255573	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=30	2	1
31	2	86.086	0	86.086	1.82071e+06	1	1	0	0	0	0	Urine_37_Top10_POS.mzXML:6741###Urine_64_Top10_POS.mzXML:1910###	 	G1,G2,	665.818	473.02898077	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=31	2	1
34	6	86.1	0	86.1	3.79558e+06	4	2	0	0	0	0	Urine_37_Top10_POS.mzXML:345###Urine_37_Top10_POS.mzXML:635###Urine_37_Top10_POS.mzXML:928###Urine_37_Top10_POS.mzXML:8957###Urine_64_Top10_POS.mzXML:165###Urine_64_Top10_POS.mzXML:7638###	 	G1,G2,	504.92545	645.326204096	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=34	2	1
39	6	86.1	0	86.1	1.66138e+06	1	5	0	0	0	0	Urine_37_Top10_POS.mzXML:7812###Urine_64_Top10_POS.mzXML:4450###Urine_64_Top10_POS.mzXML:4666###Urine_64_Top10_POS.mzXML:6406###Urine_64_Top10_POS.mzXML:6651###Urine_64_Top10_POS.mzXML:7466###	 	G1,G2,	985.0765	233.630156808	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=39	2	1
40	3	86.1	0	86.1	2.08983e+06	1	2	0	0	0	0	Urine_37_Top10_POS.mzXML:8858###Urine_64_Top10_POS.mzXML:603###Urine_64_Top10_POS.mzXML:6872###	 	G1,G2,	869.632666667	668.640272315	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=40	2	1
47	61	88.077	0	88.077	409614	24	37	0	0	0	0	Urine_37_Top10_POS.mzXML:93###Urine_37_Top10_POS.mzXML:835###Urine_37_Top10_POS.mzXML:1109###Urine_37_Top10_POS.mzXML:4950###Urine_37_Top10_POS.mzXML:5060###Urine_37_Top10_POS.mzXML:5369###Urine_37_Top10_POS.mzXML:5572###Urine_37_Top10_POS.mzXML:5792###Urine_37_Top10_POS.mzXML:5902###Urine_37_Top10_POS.mzXML:6119###Urine_37_Top10_POS.mzXML:6235###Urine_37_Top10_POS.mzXML:6344###Urine_37_Top10_POS.mzXML:6449###Urine_37_Top10_POS.mzXML:6547###Urine_37_Top10_POS.mzXML:6830###Urine_37_Top10_POS.mzXML:6920###Urine_37_Top10_POS.mzXML:7010###Urine_37_Top10_POS.mzXML:7400###Urine_37_Top10_POS.mzXML:7576###Urine_37_Top10_POS.mzXML:7735###Urine_37_Top10_POS.mzXML:7811###Urine_37_Top10_POS.mzXML:7968###Urine_37_Top10_POS.mzXML:8060###Urine_37_Top10_POS.mzXML:8156###Urine_64_Top10_POS.mzXML:166###Urine_64_Top10_POS.mzXML:604###Urine_64_Top10_POS.mzXML:710###Urine_64_Top10_POS.mzXML:805###Urine_64_Top10_POS.mzXML:1053###Urine_64_Top10_POS.mzXML:1178###Urine_64_Top10_POS.mzXML:4307###Urine_64_Top10_POS.mzXML:4413###Urine_64_Top10_POS.mzXML:4518###Urine_64_Top10_POS.mzXML:4624###Urine_64_Top10_POS.mzXML:4727###Urine_64_Top10_POS.mzXML:5104###Urine_64_Top10_POS.mzXML:5196###Urine_64_Top10_POS.mzXML:5282###Urine_64_Top10_POS.mzXML:5373###Urine_64_Top10_POS.mzXML:5474###Urine_64_Top10_POS.mzXML:5577###Urine_64_Top10_POS.mzXML:5677###Urine_64_Top10_POS.mzXML:5773###Urine_64_Top10_POS.mzXML:5964###Urine_64_Top10_POS.mzXML:6053###Urine_64_Top10_POS.mzXML:6136###Urine_64_Top10_POS.mzXML:6216###Urine_64_Top10_POS.mzXML:6297###Urine_64_Top10_POS.mzXML:6378###Urine_64_Top10_POS.mzXML:6459###Urine_64_Top10_POS.mzXML:6623###Urine_64_Top10_POS.mzXML:6772###Urine_64_Top10_POS.mzXML:6843###Urine_64_Top10_POS.mzXML:6919###Urine_64_Top10_POS.mzXML:6997###Urine_64_Top10_POS.mzXML:7075###Urine_64_Top10_POS.mzXML:7152###Urine_64_Top10_POS.mzXML:7373###Urine_64_Top10_POS.mzXML:7446###Urine_64_Top10_POS.mzXML:7525###Urine_64_Top10_POS.mzXML:7732###	 	G1,G2,	853.470677049	342.805846604	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=47	2	1
51	3	89.05	0	89.05	892087	3	0	0	0	0	0	Urine_37_Top10_POS.mzXML:5677###Urine_37_Top10_POS.mzXML:5805###Urine_37_Top10_POS.mzXML:6090###	 	G1,	864.802	31.023619373	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=51	1	0
54	2	90.054	0	90.054	4.92698e+06	1	1	0	0	0	0	Urine_37_Top10_POS.mzXML:4371###Urine_64_Top10_POS.mzXML:4136###	 	G1,G2,	642.38	3.02641702348	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=54	2	1
55	13	90.091	0	90.091	6.57731e+06	8	5	0	0	0	0	Urine_37_Top10_POS.mzXML:5339###Urine_37_Top10_POS.mzXML:5442###Urine_37_Top10_POS.mzXML:6587###Urine_37_Top10_POS.mzXML:6682###Urine_37_Top10_POS.mzXML:6778###Urine_37_Top10_POS.mzXML:6873###Urine_37_Top10_POS.mzXML:6959###Urine_37_Top10_POS.mzXML:7048###Urine_64_Top10_POS.mzXML:5124###Urine_64_Top10_POS.mzXML:5215###Urine_64_Top10_POS.mzXML:6369###Urine_64_Top10_POS.mzXML:6450###Urine_64_Top10_POS.mzXML:6543###	 	G1,G2,	949.830076923	107.324807685	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=55	2	1
56	4	91.053	0	91.053	1.08012e+07	2	2	0	0	0	0	Urine_37_Top10_POS.mzXML:2362###Urine_37_Top10_POS.mzXML:2617###Urine_64_Top10_POS.mzXML:1589###Urine_64_Top10_POS.mzXML:2066###	 	G1,G2,	355.80375	52.008186922	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=56	2	0
58	6	92.07	0	92.07	2.34393e+06	3	3	0	0	0	0	Urine_37_Top10_POS.mzXML:5255###Urine_37_Top10_POS.mzXML:5358###Urine_37_Top10_POS.mzXML:5981###Urine_64_Top10_POS.mzXML:5016###Urine_64_Top10_POS.mzXML:5691###Urine_64_Top10_POS.mzXML:5789###	 	G1,G2,	835.569833333	61.4032188062	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=58	2	1
60	21	94.065	0	94.065	4.05511e+08	7	14	0	0	0	0	Urine_37_Top10_POS.mzXML:6771###Urine_37_Top10_POS.mzXML:6866###Urine_37_Top10_POS.mzXML:6953###Urine_37_Top10_POS.mzXML:7038###Urine_37_Top10_POS.mzXML:7123###Urine_37_Top10_POS.mzXML:7203###Urine_37_Top10_POS.mzXML:7279###Urine_64_Top10_POS.mzXML:6374###Urine_64_Top10_POS.mzXML:6456###Urine_64_Top10_POS.mzXML:6507###Urine_64_Top10_POS.mzXML:6510###Urine_64_Top10_POS.mzXML:6536###Urine_64_Top10_POS.mzXML:6588###Urine_64_Top10_POS.mzXML:6592###Urine_64_Top10_POS.mzXML:6618###Urine_64_Top10_POS.mzXML:6693###Urine_64_Top10_POS.mzXML:6766###Urine_64_Top10_POS.mzXML:6837###Urine_64_Top10_POS.mzXML:6909###Urine_64_Top10_POS.mzXML:6985###Urine_64_Top10_POS.mzXML:7094###	 	G1,G2,	1062.59333333	40.0427212279	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=60	2	1
61	4	94.93	0	94.93	2.75572e+07	4	0	0	0	0	0	Urine_37_Top10_POS.mzXML:177###Urine_37_Top10_POS.mzXML:356###Urine_37_Top10_POS.mzXML:628###Urine_37_Top10_POS.mzXML:1243###	 	G1,	104.167875	80.2809404381	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=61	1	1
70	6	95.053	0	95.053	1.12035e+07	3	3	0	0	0	0	Urine_37_Top10_POS.mzXML:2748###Urine_37_Top10_POS.mzXML:2866###Urine_37_Top10_POS.mzXML:2984###Urine_64_Top10_POS.mzXML:497###Urine_64_Top10_POS.mzXML:2682###Urine_64_Top10_POS.mzXML:2801###	 	G1,G2,	386.2333	143.467656852	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=70	2	0
72	2	94.93	0	94.93	2.72873e+06	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:1051###Urine_64_Top10_POS.mzXML:1135###	 	G2,	209.5075	10.673776862	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=72	1	1
78	2	95.06	0	95.06	7.55275e+06	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:6506###Urine_64_Top10_POS.mzXML:6589###	 	G2,	1042.23	11.0025815153	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=78	1	0
79	6	96.04	0	96.04	6.37765e+06	0	6	0	0	0	0	Urine_64_Top10_POS.mzXML:1692###Urine_64_Top10_POS.mzXML:1808###Urine_64_Top10_POS.mzXML:2049###Urine_64_Top10_POS.mzXML:2171###Urine_64_Top10_POS.mzXML:2290###Urine_64_Top10_POS.mzXML:2400###	 	G2,	353.835	38.8850507728	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=79	1	0
81	2	96.07	0	96.07	1.45903e+06	1	1	0	0	0	0	Urine_37_Top10_POS.mzXML:3728###Urine_64_Top10_POS.mzXML:3533###	 	G1,G2,	556.9605	1.34279577747	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=81	2	1
82	2	96.93	0	96.93	4.57814e+06	2	0	0	0	0	0	Urine_37_Top10_POS.mzXML:14###Urine_37_Top10_POS.mzXML:8411###	 	G1,	657.705465	926.443576033	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=82	1	1
85	5	96.93	0	96.93	6.52892e+06	5	0	0	0	0	0	Urine_37_Top10_POS.mzXML:743###Urine_37_Top10_POS.mzXML:1010###Urine_37_Top10_POS.mzXML:8606###Urine_37_Top10_POS.mzXML:8701###Urine_37_Top10_POS.mzXML:8952###	 	G1,	882.0754	667.962290208	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=85	1	1
90	2	96.93	0	96.93	854283	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:279###Urine_64_Top10_POS.mzXML:362###	 	G2,	60.3109	10.988580801	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=90	1	1
94	2	96.93	0	96.93	485377	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:8243###Urine_64_Top10_POS.mzXML:8454###	 	G2,	1396.625	32.2935666968	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=94	1	1
100	2	97.065	0	97.065	1.2244e+06	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:1314###Urine_64_Top10_POS.mzXML:1525###	 	G2,	260.884	22.2682067531	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=100	1	0
